S.No,Name of City,lat,lng
176,Barmer,25.75199,71.41381
177,Morvi,22.80779,70.82353
178,Orai,25.98665,79.45085
179,Bahraich,27.57684,81.60251
180,Sikar,27.61456,75.14116
181,Vellore,12.91354,79.13249
182,Singrauli,24.19468,82.6656
183,Khammam,17.25163,80.15729
184,Mahesana,23.60599,72.37562
185,Silchar,24.81277,92.79759
186,Sambalpur,21.47796,83.97526
187,Rewa,24.52611,81.30245
188,Unnao,26.54635,80.48631
189,Hugli-Chinsurah,22.90353,88.38261
190,Raiganj,25.61956,88.12638
191,Phusro,23.76511,85.99124
192,Adityapur,22.76996,86.10293
193,Alappuzha,9.5013,76.33233
194,Bahadurgarh,28.69381,76.93274
195,Machilipatnam,16.18177,81.12952
196,Rae Bareli,26.22099,81.25568
197,Jalpaiguri,26.52422,88.7198
198,Bharuch,21.71792,72.99727
199,Pathankot,32.27054,75.64904
200,Hoshiarpur,31.5324,75.90528
201,Baramula,34.20448,74.35682
202,Adoni,15.62284,77.27013
203,Jind,29.31646,76.32079
204,Tonk,26.16113,75.78625
205,Tenali,16.2401,80.64876
206,Kancheepuram,12.82425,79.70112
207,Vapi,20.37172,72.90909
208,Sirsa,29.53957,75.03103
209,Navsari,20.94019,72.93886
210,Mahbubnagar,16.74834,77.9961
211,Puri,19.80804,85.83353
212,Robertson Pet,12.93711,78.27279
213,Erode,11.34065,77.71723
214,Batala,31.82206,75.20287
215,Haldwani-cum-Kathgodam,29.21459,79.52826
216,Vidisha,23.52142,77.80641
217,Saharsa,25.87723,86.59285
218,Thanesar,29.97542,76.82948
219,Chittoor,13.20604,79.08833
220,Veraval,20.92202,70.36447
221,Lakhimpur,27.94814,80.77777
222,Sitapur,27.55901,80.69623
223,Hindupur,13.83329,77.49391
224,Santipur,23.24864,88.43517
225,Balurghat,25.2398,88.78377
226,Ganjbasoda,23.86067,77.90921
227,Moga,30.81892,75.1777
228,Proddatur,14.75598,78.54475
229,Srinagar,34.08442,74.7991
230,Medinipur,22.422,87.32904
231,Habra,22.84669,88.66182
232,Sasaram,24.9546,84.01767
233,Hajipur,25.70281,85.22172
234,Bhuj,23.2494,69.67394
235,Shivpuri,25.41923,77.65541
236,Ranaghat,23.17516,88.56187
237,Shimla,31.10326,77.15844
238,Tiruvannamalai,12.23526,79.07481
239,Kaithal,29.79742,76.37763
240,Rajnandgaon,21.09755,81.03435
241,Godhra,22.77896,73.62071
242,Hazaribag,23.99885,85.36735
243,Bhimavaram,16.5416,81.52793
244,Mandsaur,24.07259,75.066
245,Dibrugarh,27.48439,94.92311
246,Kolar,13.13631,78.13258
247,Bankura,23.23471,87.06737
248,Mandya,12.52739,76.89468
249,Dehri-on-Sone,24.89444,84.16841
250,Madanapalle,13.56445,78.49937
251,Malerkotla,30.53107,75.88871
252,Lalitpur,27.66617,85.30975
253,Bettiah,26.80352,84.52511
254,Pollachi,10.65951,77.00751
255,Khanna,30.70793,76.21411
256,Neemuch,24.45854,74.86246
257,Palwal,28.14264,77.33442
258,Palanpur,24.17129,72.42748
259,Guntakal,15.16042,77.37922
260,Nabadwip,23.41035,88.37
261,Udupi,13.33694,74.74469
262,Jagdalpur,19.08533,82.0183
263,Motihari,26.65164,84.9152
264,Pilibhit,28.6267,79.80514
265,Dimapur,25.91397,93.7285
266,Mohali,30.70346,76.69161
267,Sadulpur,26.78954,72.16695
268,Rajapalayam,9.44479,77.55405
269,Dharmavaram,14.41328,77.71049
270,Kashipur,29.20915,78.96376
271,Sivakasi,9.46042,77.79946
272,Darjiling,27.03937,88.26382
273,Chikkamagaluru,13.32335,75.77362
274,Gudivada,16.43224,81.00606
275,Baleshwar Town,21.4892,86.94441
276,Mancherial,18.87653,79.44493
277,Srikakulam,18.30781,83.8947
278,Adilabad,19.67714,78.53308
279,Yavatmal,20.38967,78.12734
280,Barnala,30.3639,75.52574
281,Nagaon,26.34949,92.68462
282,Narasaraopet,16.2366,80.05551
283,Raigarh,21.89623,83.39413
